Dataset,Dimensionality,Win
deeplearning,1.9,1
deeplearning,1.9,1
deeplearning,1.9,1
deeplearning,1.9,1
deeplearning,1.9,1
deeplearning,1.9,1
deeplearning,1.9,1
feature_pitsC,2.2,0
feature_pitsB,2.4,0
qpid,2.5,1
qpid,2.5,1
qpid,2.5,1
qpid,2.5,1
qpid,2.5,1
qpid,2.5,1
feature_pitsF,2.6,0
camel,2.9,0
cocoon,2.9,0
camel,2.9,1
cocoon,2.9,1
camel,2.9,1
cocoon,2.9,1
camel,2.9,1
camel,2.9,1
cocoon,2.9,1
cocoon,2.9,1
camel,2.9,1
cocoon,2.9,1
feature_pitsE,3.0,1
node,3.0,1
node,3.0,1
node,3.0,1
node,3.0,1
node,3.0,1
node,3.0,1
node,3.0,1
ofbiz,3.2,1
ofbiz,3.2,1
ofbiz,3.2,1
ofbiz,3.2,1
ofbiz,3.2,1
ofbiz,3.2,1
feature_pitsA,3.2,0
hadoop,3.3,1
hadoop,3.3,1
hadoop,3.3,1
hadoop,3.3,1
hadoop,3.3,1
DataClass,3.4,1
GodClass,3.4,1
feature_pitsD,3.6,1
cloudstack,3.8,1
cloudstack,3.8,1
cloudstack,3.8,1
cloudstack,3.8,1
cloudstack,3.8,1
hive,5.4,0
hive,5.4,0
hive,5.4,1
hive,5.4,1
hive,5.4,1
hive,5.4,1
FeatureEnvy,8.0,0
LongMethod,8.0,0
credit-approval,2.2,1
cervical-cancer,1.8,1
cardiotocography,1.2,0
adult,2.3,1
bank,1.8,0
autism,0.6,0
sensorless-drive,6.2,0
htru2,3.5,1
gamma,3.2,1
image,1.2,0
covtype,2.6,0
cancer,7.6,1
car,1.6,1
drug-consumption,6.6,1
credit-default,2.7,1
shuttle,1.6,0
liver,2,1
pendigits,5.2,0
biodegrade,1.1,0
audit,0.3,0
hand,1.2,0
annealing,0.9,0
satellite,7.6,1
contraceptive,1.4,1
mushroom,2,0
shop-intention,1.6,0
crowdsource,5.2,0
diabetic,1.8,0
blood-transfusion,1.2,1
kddcup,1.2,0
