d2h = 0.5849254121764498	pd = 0.8646864686468647	pf = 0.1074561403508772
d2h = 0.4461858715844114	pd = 0.7458745874587459	pf = 0.2675438596491228
d2h = 0.5823775771180565	pd = 0.8712871287128713	pf = 0.1206140350877193
d2h = 0.5356321620642653	pd = 0.8448844884488449	pf = 0.18640350877192982
d2h = 0.523137535413035	pd = 0.9141914191419142	pf = 0.24561403508771928
d2h = 0.5437820045198869	pd = 0.8217821782178217	pf = 0.14692982456140352
d2h = 0.44020988603780425	pd = 0.735973597359736	pf = 0.26973684210526316
d2h = 0.38483635710496217	pd = 0.5775577557755776	pf = 0.17105263157894737
d2h = 0.5214782252279667	pd = 0.7854785478547854	pf = 0.1513157894736842
d2h = 0.1375840080283538	pd = 0.19471947194719472	pf = 0.015350877192982455
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.462740236267718	pd = 0.8547854785478548	pf = 0.31359649122807015
d2h = -6.8011636331632985e-06	pd = 0.0	pf = 0.0043859649122807015
d2h = 0.5904703561549938	pd = 0.8976897689768977	pf = 0.12938596491228072
d2h = 0.5851303256575989	pd = 0.8910891089108911	pf = 0.1337719298245614
d2h = 0.5855440664050058	pd = 0.8976897689768977	pf = 0.13815789473684212
d2h = 0.5919032907655729	pd = 0.900990099009901	pf = 0.12938596491228072
d2h = 0.4551609164590136	pd = 0.834983498349835	pf = 0.3157894736842105
d2h = 0.31157505831491095	pd = 0.9867986798679867	pf = 0.5592105263157895
d2h = 0.4633710083177892	pd = 0.9042904290429042	pf = 0.33114035087719296
d2h = 0.584140943482123	pd = 0.8943894389438944	pf = 0.13815789473684212
d2h = 0.5931308730301366	pd = 0.900990099009901	pf = 0.12719298245614036
d2h = 0.5802622305828891	pd = 0.8518518518518519	pf = 0.10114942528735632
d2h = 0.5115864724438215	pd = 0.7376543209876543	pf = 0.08735632183908046
d2h = 0.5799592895891631	pd = 0.8580246913580247	pf = 0.1103448275862069
d2h = 0.5585077208681131	pd = 0.8271604938271605	pf = 0.11954022988505747
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.5877799735817948	pd = 0.8703703703703703	pf = 0.10804597701149425
d2h = 0.33769800418185725	pd = 0.9753086419753086	pf = 0.5218390804597701
d2h = 0.5330927945351412	pd = 0.7993827160493827	pf = 0.1425287356321839
d2h = 0.5856727680198572	pd = 0.8703703703703703	pf = 0.11264367816091954
d2h = 0.5758687249205456	pd = 0.8580246913580247	pf = 0.11954022988505747
d2h = 0.5855924906924668	pd = 0.8765432098765432	pf = 0.11954022988505747
d2h = 0.39454578570952836	pd = 0.9320987654320988	pf = 0.4367816091954023
d2h = 0.48802125025980225	pd = 0.808641975308642	pf = 0.24367816091954023
d2h = 0.5889328050809597	pd = 0.8765432098765432	pf = 0.11264367816091954
d2h = 0.5894190354879367	pd = 0.8796296296296297	pf = 0.11494252873563218
d2h = 0.5833089521484152	pd = 0.8765432098765432	pf = 0.12413793103448276
d2h = 0.5855924906924668	pd = 0.8765432098765432	pf = 0.11954022988505747
d2h = 0.5123277635088516	pd = 0.7870370370370371	pf = 0.17471264367816092
d2h = 0.5844561787524999	pd = 0.8765432098765432	pf = 0.12183908045977011
d2h = 0.5913773184770207	pd = 0.8858024691358025	pf = 0.11724137931034483
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.5893423417025888	pd = 0.8741935483870967	pf = 0.1091314031180401
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.5775723968257298	pd = 0.8580645161290322	pf = 0.11581291759465479
d2h = 0.08930282981196469	pd = 0.267741935483871	pf = 0.4766146993318486
d2h = 0.5455562438567492	pd = 0.8516129032258064	pf = 0.17371937639198218
d2h = 0.5629366619634348	pd = 0.8387096774193549	pf = 0.12472160356347439
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.32430995121543676	pd = 0.9870967741935484	pf = 0.5412026726057907
d2h = 0.4760056975827247	pd = 0.8483870967741935	pf = 0.289532293986637
d2h = 0.4806636639915576	pd = 0.8838709677419355	pf = 0.2984409799554566
d2h = 0.5137670508077592	pd = 0.8741935483870967	pf = 0.24276169265033407
d2h = 0.5896193126219224	pd = 0.8709677419354839	pf = 0.10467706013363029
d2h = 0.5824011908950425	pd = 0.8580645161290322	pf = 0.10467706013363029
d2h = 0.48424872688542075	pd = 0.9129032258064517	pf = 0.3028953229398664
d2h = 0.5858593919856564	pd = 0.867741935483871	pf = 0.1091314031180401
d2h = 0.32430995121543676	pd = 0.9870967741935484	pf = 0.5412026726057907
d2h = 0.5850731914829048	pd = 0.864516129032258	pf = 0.10690423162583519
d2h = 0.4177069056940385	pd = 0.7	pf = 0.27839643652561247
d2h = 0.5222841712815443	pd = 0.7838709677419354	pf = 0.14699331848552338
d2h = 0.48556234812308124	pd = 0.9150943396226415	pf = 0.30158730158730157
d2h = 0.5818403532361269	pd = 0.8584905660377359	pf = 0.10657596371882086
