d2h = -7.371646706610946e-06	pd = 0.0	pf = 0.0045662100456621
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.34217759972938677	pd = 0.5	pf = 0.1278538812785388
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.050507627227610485	pd = 0.07142857142857142	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.050507627227610485	pd = 0.07142857142857142	pf = 0.0
d2h = 0.30852019033431394	pd = 0.5	pf = 0.2602739726027397
d2h = 0.26595563744163947	pd = 0.8571428571428571	pf = 0.6073059360730594
d2h = 0.039083726633859284	pd = 0.14285714285714285	pf = 0.3972602739726027
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.24841720472888046	pd = 0.35714285714285715	pf = 0.0867579908675799
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.020376623350853107	pd = 0.14285714285714285	pf = 0.45662100456621
d2h = 0.27771627275533145	pd = 0.42857142857142855	pf = 0.2054794520547945
d2h = 0.3347693333071154	pd = 0.5714285714285714	pf = 0.3059360730593607
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.21689649218906581	pd = 0.3076923076923077	pf = 0.03636363636363636
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.05438491581271743	pd = 0.07692307692307693	pf = 0.004545454545454545
d2h = 0.25600626643456165	pd = 0.38461538461538464	pf = 0.16818181818181818
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -7.304784388484364e-06	pd = 0.0	pf = 0.004545454545454545
d2h = 0.10870796694383444	pd = 0.15384615384615385	pf = 0.013636363636363636
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.05261470092593101	pd = 0.07692307692307693	pf = 0.06818181818181818
d2h = -0.0014302985689369496	pd = 0.0	pf = 0.06363636363636363
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.16316899178026545	pd = 0.23076923076923078	pf = 0.004545454545454545
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.10875112775414031	pd = 0.15384615384615385	pf = 0.00909090909090909
d2h = -0.0007301052860632096	pd = 0.0	pf = 0.045454545454545456
d2h = -7.304784388484364e-06	pd = 0.0	pf = 0.004545454545454545
d2h = 0.03537645080473906	pd = 0.15384615384615385	pf = 0.4318181818181818
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.054392829322042036	pd = 0.07692307692307693	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.16240983331077274	pd = 0.23076923076923078	pf = 0.04090909090909091
d2h = 0.2343902322925202	pd = 0.3333333333333333	pf = 0.049773755656108594
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.05892556509887892	pd = 0.08333333333333333	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.1178424436241503	pd = 0.16666666666666666	pf = 0.004524886877828055
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.1178424436241503	pd = 0.16666666666666666	pf = 0.004524886877828055
d2h = 0.0	pd = 1.0	pf = 1.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.11785113019775784	pd = 0.16666666666666666	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.11785113019775784	pd = 0.16666666666666666	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -0.013260325823639563	pd = 0.0	pf = 0.19457013574660634
d2h = 0.2356045458494503	pd = 0.3333333333333333	pf = 0.013574660633484163
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.11781638467160638	pd = 0.16666666666666666	pf = 0.00904977375565611
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.11785113019775784	pd = 0.16666666666666666	pf = 0.0
d2h = 0.2701355505907596	pd = 0.6666666666666666	pf = 0.5203619909502263
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.07071067811865472	pd = 0.1	pf = 0.0
d2h = -0.005329817548467508	pd = 0.1	pf = 0.452914798206278
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.1413413788701069	pd = 0.2	pf = 0.013452914798206279
d2h = 0.07042635755697213	pd = 0.1	pf = 0.026905829596412557
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.07070277861006702	pd = 0.1	pf = 0.004484304932735426
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.07071067811865472	pd = 0.1	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.07071067811865472	pd = 0.1	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.07070277861006702	pd = 0.1	pf = 0.004484304932735426
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.07071067811865472	pd = 0.1	pf = 0.0
d2h = 0.07071067811865472	pd = 0.1	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.2772356983506728	pd = 1.0	pf = 0.6079295154185022
d2h = 0.23566109468834578	pd = 0.3333333333333333	pf = 0.00881057268722467
d2h = 0.11771940890548482	pd = 0.16666666666666666	pf = 0.01762114537444934
d2h = 0.11785113019775784	pd = 0.16666666666666666	pf = 0.0
d2h = 0.23570226039551578	pd = 0.3333333333333333	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.35355339059327373	pd = 0.5	pf = 0.0
d2h = 0.35355339059327373	pd = 0.5	pf = 0.0
d2h = 0.35355339059327373	pd = 0.5	pf = 0.0
d2h = 0.35355339059327373	pd = 0.5	pf = 0.0
d2h = 0.3491349097516354	pd = 0.5	pf = 0.07929515418502203
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.3535396683580428	pd = 0.5	pf = 0.004405286343612335
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.23569196863171604	pd = 0.3333333333333333	pf = 0.004405286343612335
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.35355339059327373	pd = 0.5	pf = 0.0
d2h = 0.23570226039551578	pd = 0.3333333333333333	pf = 0.0
d2h = 0.05438491581271743	pd = 0.07692307692307693	pf = 0.004545454545454545
d2h = 0.10878565864408418	pd = 0.15384615384615385	pf = 0.0
d2h = 0.27177426266509147	pd = 0.38461538461538464	pf = 0.01818181818181818
d2h = 0.1631405042173497	pd = 0.23076923076923078	pf = 0.00909090909090909
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.054361175860376365	pd = 0.07692307692307693	pf = 0.00909090909090909
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.16309302826085903	pd = 0.23076923076923078	pf = 0.013636363636363636
d2h = 0.0	pd = 1.0	pf = 1.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.21719161379463314	pd = 0.3076923076923077	pf = 0.02727272727272727
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.10878565864408418	pd = 0.15384615384615385	pf = 0.0
