d2h = 0.08834540504057775	pd = 0.125	pf = 0.010309278350515464
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.17677112849833887	pd = 0.25	pf = 0.003436426116838488
d2h = -1.6700285333071108e-05	pd = 0.0	pf = 0.006872852233676976
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.13250030959433523	pd = 0.1875	pf = 0.013745704467353952
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.13250030959433523	pd = 0.1875	pf = 0.013745704467353952
d2h = 0.17632597379946058	pd = 0.25	pf = 0.030927835051546393
d2h = 0.22067338790522273	pd = 0.3125	pf = 0.024054982817869417
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.4736493733980104	pd = 0.6875	pf = 0.10652920962199312
d2h = 0.3505516958008579	pd = 0.5	pf = 0.06529209621993128
d2h = 0.5778225765418499	pd = 0.9375	pf = 0.1718213058419244
d2h = 0.3076926599397455	pd = 0.4375	pf = 0.05154639175257732
d2h = 0.3060992813905262	pd = 0.4375	pf = 0.07216494845360824
d2h = 0.14921770891384045	pd = 0.625	pf = 0.6941580756013745
d2h = 0.1321664447250257	pd = 0.1875	pf = 0.030927835051546393
d2h = 0.3875240238034893	pd = 0.5625	pf = 0.1134020618556701
d2h = 0.1321664447250257	pd = 0.1875	pf = 0.030927835051546393
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.6069249353238007	pd = 0.9375	pf = 0.12714776632302405
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.3343403681742116	pd = 0.47619047619047616	pf = 0.05944055944055944
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.23528749438634028	pd = 0.3333333333333333	pf = 0.027972027972027972
d2h = 0.06730050810902455	pd = 0.09523809523809523	pf = 0.01048951048951049
d2h = 0.3692927350344219	pd = 0.5238095238095238	pf = 0.038461538461538464
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.2691994890195566	pd = 0.38095238095238093	pf = 0.017482517482517484
d2h = 0.5419379026875562	pd = 0.9047619047619048	pf = 0.21328671328671328
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.06726706965888407	pd = 0.09523809523809523	pf = 0.013986013986013986
d2h = 0.4344734223876886	pd = 0.6190476190476191	pf = 0.05944055944055944
d2h = 0.06732439378627131	pd = 0.09523809523809523	pf = 0.006993006993006993
d2h = 0.5419379026875562	pd = 0.9047619047619048	pf = 0.21328671328671328
d2h = 0.5419379026875562	pd = 0.9047619047619048	pf = 0.21328671328671328
d2h = 0.5419379026875562	pd = 0.9047619047619048	pf = 0.21328671328671328
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.5276352021146421	pd = 0.8571428571428571	pf = 0.2097902097902098
d2h = 0.5735971092142622	pd = 1.0	pf = 0.1888111888111888
d2h = 0.2678058021264816	pd = 0.38095238095238093	pf = 0.05244755244755245
d2h = 0.5419379026875562	pd = 0.9047619047619048	pf = 0.21328671328671328
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.037216146378239334	pd = 0.05263157894736842	pf = 0.0
d2h = 0.2225436480925463	pd = 0.3157894736842105	pf = 0.03819444444444445
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.111648439134718	pd = 0.15789473684210525	pf = 0.0
d2h = 0.18602867042334947	pd = 0.2631578947368421	pf = 0.010416666666666666
d2h = -4.2625424979680915e-06	pd = 0.0	pf = 0.003472222222222222
d2h = 0.07441323691367419	pd = 0.10526315789473684	pf = 0.006944444444444444
d2h = 0.5799303416997396	pd = 0.8947368421052632	pf = 0.14583333333333334
d2h = 0.037216146378239334	pd = 0.05263157894736842	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.6088975060217492	pd = 1.0	pf = 0.1388888888888889
d2h = 0.49104637582399124	pd = 1.0	pf = 0.3055555555555556
d2h = 0.5941661147470295	pd = 1.0	pf = 0.1597222222222222
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -0.0009786949752267349	pd = 0.9473684210526315	pf = 1.0
d2h = 0.5941661147470295	pd = 1.0	pf = 0.1597222222222222
d2h = 0.18602867042334947	pd = 0.2631578947368421	pf = 0.010416666666666666
d2h = 0.5745242597140698	pd = 1.0	pf = 0.1875
d2h = 0.11162819234104204	pd = 0.15789473684210525	pf = 0.006944444444444444
d2h = 0.44154048786232075	pd = 0.631578947368421	pf = 0.07291666666666667
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.03073919038891937	pd = 0.043478260869565216	pf = 0.0035211267605633804
d2h = 0.09198436018145995	pd = 0.13043478260869565	pf = 0.02464788732394366
d2h = 0.12284244970765745	pd = 0.17391304347826086	pf = 0.017605633802816902
d2h = 0.002489812609811737	pd = 1.0	pf = 0.9964788732394366
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.2145766905137345	pd = 0.30434782608695654	pf = 0.035211267605633804
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.5266044640036357	pd = 0.782608695652174	pf = 0.13380281690140844
d2h = 0.01742868826868249	pd = 1.0	pf = 0.9753521126760564
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.03074377309506726	pd = 0.043478260869565216	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.5488615908106622	pd = 0.8260869565217391	pf = 0.14084507042253522
d2h = 0.12295386752865711	pd = 0.17391304347826086	pf = 0.007042253521126761
d2h = 0.49864719810197544	pd = 0.7391304347826086	pf = 0.13732394366197184
d2h = 0.21269233937910725	pd = 0.30434782608695654	pf = 0.07042253521126761
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.11160288481698077	pd = 0.15789473684210525	pf = 0.010416666666666666
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.3721254708044748	pd = 0.5263157894736842	pf = 0.006944444444444444
d2h = 0.111648439134718	pd = 0.15789473684210525	pf = 0.0
d2h = 0.22307265423933137	pd = 0.3157894736842105	pf = 0.020833333333333332
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.3341363111990718	pd = 0.47368421052631576	pf = 0.034722222222222224
d2h = 0.14851914124129528	pd = 0.21052631578947367	pf = 0.027777777777777776
d2h = 0.4100237238130327	pd = 1.0	pf = 0.4201388888888889
d2h = 0.22307265423933137	pd = 0.3157894736842105	pf = 0.020833333333333332
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.3977475644174329	pd = 1.0	pf = 0.4375
d2h = 0.3977475644174329	pd = 1.0	pf = 0.4375
d2h = 0.18605759281884415	pd = 0.2631578947368421	pf = 0.006944444444444444
d2h = 0.5393431753793252	pd = 0.8421052631578947	pf = 0.17708333333333334
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.5299918610107668	pd = 0.8421052631578947	pf = 0.19444444444444445
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.5217215172901293	pd = 0.7894736842105263	pf = 0.15625
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.06427764662892999	pd = 0.09090909090909091	pf = 0.0035087719298245615
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.128564869306645	pd = 0.18181818181818182	pf = 0.0
