d2h = 0.17393199428648187	pd = 0.2564102564102564	pf = 0.125
d2h = 0.10715570761431581	pd = 0.15384615384615385	pf = 0.0625
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.036249855576681145	pd = 0.05128205128205128	pf = 0.005681818181818182
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.13614352429529464	pd = 0.20512820512820512	pf = 0.14204545454545456
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.018025523846553648	pd = 0.02564102564102564	pf = 0.017045454545454544
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.12491692857982162	pd = 0.1794871794871795	pf = 0.06818181818181818
d2h = -0.00010271660058669418	pd = 0.0	pf = 0.017045454545454544
d2h = 0.018119229059615494	pd = 0.02564102564102564	pf = 0.005681818181818182
d2h = 0.12457046240343361	pd = 0.1794871794871795	pf = 0.07386363636363637
d2h = 0.07232031357236057	pd = 0.10256410256410256	pf = 0.022727272727272728
d2h = 0.08907257967022486	pd = 0.1282051282051282	pf = 0.0625
d2h = 0.09018357341653604	pd = 0.1282051282051282	pf = 0.03409090909090909
d2h = 0.05419502036324153	pd = 0.07692307692307693	pf = 0.022727272727272728
d2h = 0.036213764957060524	pd = 0.05128205128205128	pf = 0.011363636363636364
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.12491692857982162	pd = 0.1794871794871795	pf = 0.06818181818181818
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.08877230098250144	pd = 0.1282051282051282	pf = 0.06818181818181818
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.036069421889312836	pd = 0.05128205128205128	pf = 0.022727272727272728
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.13034445736218647	pd = 0.18518518518518517	pf = 0.03723404255319149
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -0.0003600238419942947	pd = 0.0	pf = 0.031914893617021274
d2h = 0.15774601067755245	pd = 0.3333333333333333	pf = 0.39893617021276595
d2h = 0.10175231321675882	pd = 0.7037037037037037	pf = 0.8031914893617021
d2h = -0.00025003599807860155	pd = 0.0	pf = 0.026595744680851064
d2h = 0.07694898407202055	pd = 0.1111111111111111	pf = 0.06382978723404255
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -0.0001600332217359668	pd = 0.0	pf = 0.02127659574468085
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -9.002314328210304e-05	pd = 0.0	pf = 0.015957446808510637
d2h = 0.15434623384898283	pd = 0.2962962962962963	pf = 0.3404255319148936
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.18903409323684006	pd = 0.4074074074074074	pf = 0.4308510638297872
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -1.0003137444147825e-05	pd = 0.0	pf = 0.005319148936170213
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.2351744646832976	pd = 0.48148148148148145	pf = 0.42021276595744683
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 1.0	pf = 1.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.21102051652640885	pd = 0.3076923076923077	pf = 0.11363636363636363
d2h = 0.09053689625520489	pd = 0.1282051282051282	pf = 0.017045454545454544
d2h = 0.25197293326197573	pd = 0.8461538461538461	pf = 0.625
d2h = 0.018119229059615494	pd = 0.02564102564102564	pf = 0.005681818181818182
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.036213764957060524	pd = 0.05128205128205128	pf = 0.011363636363636364
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.14298359844483144	pd = 0.20512820512820512	pf = 0.06818181818181818
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.17692223539220886	pd = 0.5384615384615384	pf = 0.5909090909090909
d2h = 0.10844852817101125	pd = 0.15384615384615385	pf = 0.028409090909090908
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.16476349411147428	pd = 0.7037037037037037	pf = 0.7074468085106383
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.15385215263444063	pd = 0.2222222222222222	pf = 0.0851063829787234
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -1.0003137444147825e-05	pd = 0.0	pf = 0.005319148936170213
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.05198947079993854	pd = 0.07407407407407407	pf = 0.031914893617021274
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.2925306834405036	pd = 0.7777777777777778	pf = 0.5425531914893617
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.025524635680835517	pd = 0.037037037037037035	pf = 0.0425531914893617
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
