d2h = 0.03421294036490374	pd = 0.04838709677419355	pf = 0.0022637238256932655
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.022808843079652585	pd = 0.03225806451612903	pf = 0.001697792869269949
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.18219704801008962	pd = 0.25806451612903225	pf = 0.024335031126202604
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0684171518575164	pd = 0.0967741935483871	pf = 0.005659309564233163
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.022808024012596517	pd = 0.03225806451612903	pf = 0.0022637238256932655
d2h = 0.1594797500538231	pd = 0.22580645161290322	pf = 0.02037351443123939
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.17103598281058296	pd = 0.24193548387096775	pf = 0.009054895302773062
d2h = 0.18219704801008962	pd = 0.25806451612903225	pf = 0.024335031126202604
d2h = 0.1137384962414486	pd = 0.16129032258064516	pf = 0.027164685908319185
d2h = 0.1137384962414486	pd = 0.16129032258064516	pf = 0.027164685908319185
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.18219704801008962	pd = 0.25806451612903225	pf = 0.024335031126202604
d2h = 0.18219704801008962	pd = 0.25806451612903225	pf = 0.024335031126202604
d2h = 0.06842768262228205	pd = 0.0967741935483871	pf = 0.0022637238256932655
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.07442612643426383	pd = 0.10526315789473684	pf = 0.0039503386004514675
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -4.503886363860232e-07	pd = 0.0	pf = 0.001128668171557562
d2h = 0.11160511893975433	pd = 0.15789473684210525	pf = 0.010158013544018058
d2h = 0.012403548402753595	pd = 0.017543859649122806	pf = 0.002257336343115124
