d2h = 0.07552644397454122	pd = 0.10714285714285714	pf = 0.024363233665559248
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -1.0839673117879478e-05	pd = 0.0	pf = 0.005537098560354375
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.025253363964807374	pd = 0.03571428571428571	pf = 0.0011074197120708748
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -1.7343588653018216e-06	pd = 0.0	pf = 0.0022148394241417496
d2h = -1.7343588653018216e-06	pd = 0.0	pf = 0.0022148394241417496
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -3.902301464964175e-06	pd = 0.0	pf = 0.0033222591362126247
d2h = 0.050301737493282705	pd = 0.07142857142857142	pf = 0.023255813953488372
d2h = 0.050301737493282705	pd = 0.07142857142857142	pf = 0.023255813953488372
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.05028166553024649	pd = 0.07142857142857142	pf = 0.024363233665559248
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -4.278850458394601e-07	pd = 0.0	pf = 0.0011001100110011
d2h = -1.7115386301558289e-06	pd = 0.0	pf = 0.0022002200220022
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -3.850956092121827e-06	pd = 0.0	pf = 0.0033003300330033004
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -4.278850458394601e-07	pd = 0.0	pf = 0.0011001100110011
d2h = -0.00035975991364201043	pd = 0.0	pf = 0.0319031903190319
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.052172258767208324	pd = 0.07407407407407407	pf = 0.023230088495575223
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.1043864353699906	pd = 0.14814814814814814	pf = 0.029867256637168143
d2h = 0.1043864353699906	pd = 0.14814814814814814	pf = 0.029867256637168143
d2h = 0.1043864353699906	pd = 0.14814814814814814	pf = 0.029867256637168143
d2h = 0.1043864353699906	pd = 0.14814814814814814	pf = 0.029867256637168143
d2h = -4.3263137583515743e-07	pd = 0.0	pf = 0.0011061946902654867
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -0.06424175310877511	pd = 0.0	pf = 0.4358407079646018
d2h = 0.05237080425811125	pd = 0.07407407407407407	pf = 0.004424778761061947
d2h = 0.052062500627554686	pd = 0.07407407407407407	pf = 0.028761061946902654
d2h = 0.05237080425811125	pd = 0.07407407407407407	pf = 0.004424778761061947
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -1.5505877556498682e-05	pd = 0.0	pf = 0.006622516556291391
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -6.89154311395157e-06	pd = 0.0	pf = 0.004415011037527594
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -1.7228920753398214e-06	pd = 0.0	pf = 0.002207505518763797
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -1.7228920753398214e-06	pd = 0.0	pf = 0.002207505518763797
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -0.00012446814936117878	pd = 0.0	pf = 0.018763796909492272
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.06035439506363882	pd = 0.08571428571428572	pf = 0.025669642857142856
d2h = 0.08063273420218786	pd = 0.11428571428571428	pf = 0.021205357142857144
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.05892134551048511	pd = 0.08333333333333333	pf = 0.0033076074972436605
d2h = 0.0290857324782805	pd = 0.041666666666666664	pf = 0.03197353914002205
d2h = 0.0880303878166252	pd = 0.125	pf = 0.029768467475192944
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.08836428075610747	pd = 0.125	pf = 0.007717750826901874
d2h = 0.05892134551048511	pd = 0.08333333333333333	pf = 0.0033076074972436605
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.08817177930814535	pd = 0.125	pf = 0.023153252480705624
d2h = 0.11760157013615502	pd = 0.16666666666666666	pf = 0.024255788313120176
d2h = 0.058846335190104404	pd = 0.08333333333333333	pf = 0.014332965821389196
d2h = 0.0584751618469076	pd = 0.08333333333333333	pf = 0.034178610804851156
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.11782586001131101	pd = 0.16666666666666666	pf = 0.007717750826901874
d2h = 0.11773510256246389	pd = 0.16666666666666666	pf = 0.016538037486218304
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.11762373751825006	pd = 0.16666666666666666	pf = 0.023153252480705624
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.04710265648022738	pd = 0.06666666666666667	pf = 0.009988901220865706
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.04713625246122799	pd = 0.06666666666666667	pf = 0.003329633740288568
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.02357022603955161	pd = 0.03333333333333333	pf = 0.0
d2h = -3.919644957495194e-06	pd = 0.0	pf = 0.003329633740288568
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -3.919644957495194e-06	pd = 0.0	pf = 0.003329633740288568
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.023548150173597127	pd = 0.03333333333333333	pf = 0.00776914539400666
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.09409952128913301	pd = 0.13333333333333333	pf = 0.021087680355160933
