,Priority,Status,NoComments,NoWatchers,NoAttachments,NoAttachedPatches,HasMergeCommit,NoCommits,NoAuthors,NoCommitters,NonSrcAddFiles,NonSrcDelFiles,NonSrcModFiles,NonSrcAddLines,NonSrcDelLines,SrcAddFiles,SrcDelFiles,SrcModFiles,SrcAddLines,SrcDelLines,TestAddFiles,TestDelFiles,TestModFiles,TestAddLines,TestDelLines,ResolutionTime
0,4,0,0,0,1,1,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,4
1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2,2,0,2,0,2,2,0,1,1,1,0,0,1,2,0,0,0,2,27,1,0,0,0,0,0,4
3,2,0,1,0,1,1,0,2,1,1,0,0,1,2,0,2,0,1,153,2,0,0,0,0,0,4
4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,2,0,2,0,1,1,0,2,1,1,0,0,1,1,0,2,0,1,154,19,0,0,0,0,0,4
7,2,0,8,0,1,1,0,2,1,1,0,0,2,2,0,0,0,4,56,2,0,0,0,0,0,7
8,2,0,2,0,0,0,0,2,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,3
9,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
10,2,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,3
11,3,0,5,0,0,0,0,2,1,1,0,0,2,6,2,0,0,2,0,2,0,0,0,0,0,7
12,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
13,2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
14,2,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,4,20,10,0,0,0,0,0,0
15,2,0,2,0,1,0,0,2,1,1,0,0,2,6,2,0,0,4,50,0,0,0,0,0,0,6
16,2,0,6,0,3,3,0,2,1,1,0,0,1,2,1,0,0,1,12,3,0,0,0,0,0,2
17,2,0,0,0,0,0,0,1,1,1,0,0,1,2,0,0,0,1,11,13,0,0,0,0,0,0
18,2,0,1,0,0,0,0,1,1,1,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0
19,3,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
20,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
21,2,0,7,0,1,1,0,2,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,5
22,2,0,2,0,0,0,0,2,1,1,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,6
23,3,0,4,0,1,1,0,2,1,1,0,0,2,2,0,0,0,4,18,4,0,0,0,0,0,4
24,2,0,1,0,1,1,0,2,1,1,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,5
25,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
26,2,0,6,0,0,0,0,4,2,2,0,0,2,2,0,0,0,6,40,14,0,0,0,0,0,7
27,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,34,0,0,0,0,0,0,0
28,2,0,6,0,0,0,0,2,1,1,0,0,2,2,0,0,0,4,58,2,0,0,0,0,0,4
29,2,0,6,0,1,0,0,2,1,1,0,0,2,2,0,0,0,2,8,4,0,0,0,0,0,7
30,3,0,4,0,1,1,0,2,1,1,0,0,2,2,0,0,0,2,8,6,0,0,0,0,0,6
31,3,0,3,0,0,0,0,4,1,1,0,0,2,2,0,0,0,4,46,4,0,0,0,0,0,3
32,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
33,2,0,5,0,0,0,0,2,1,1,0,0,2,8,6,0,0,4,46,2,0,0,0,0,0,4
34,2,0,2,0,1,1,0,4,1,1,0,0,2,4,0,0,0,6,74,8,0,0,0,0,0,1
35,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,3,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
