Number,Title,Link to paper,Year,Code?,Data?,Compare to non-DL?,Venue,SE task,Method,Hyperparam tuning,,,,,
1,Deep Semantic Feature Learning for Software Defect Prediction,https://www.cs.purdue.edu/homes/lintan/publications/deeplearn-tse18.pdf,2018,No,No,Yes,ICSE,defect prediction,Sequence,grid search,,Literature review,Valid options,,
2,CRADLE: Cross-Backend Validation to Detect and Localize Bugs in Deep Learning Libraries,https://www.cs.purdue.edu/homes/lintan/publications/cradle-icse19.pdf,2019,No,Yes,No,ICSE,bug localization,Convolutional,none,,,SE task,Method,Yes/No
3,A Neural Language Model with a Modified Attention Mechanism for Software Code,https://ieeexplore.ieee.org/document/8663962,2018,No,Yes,Yes,ICSESS,language model,Sequence,none,,,defect prediction,Sequence,Yes
4,How Well Do Change Sequences Predict Defects? Sequence Learning from Software Changes,http://sccpu2.cse.ust.hk/castle/materials/TSE19-ming.pdf,2019,No,Yes,Yes,TSE,defect prediction,Sequence,none,,,bug localization,Convolutional,No
5,DeepJIT: An End-to-End Deep Learning Framework for Just-in-Time Defect Prediction,https://posl.ait.kyushu-u.ac.jp/~kamei/publications/Thong_MSR2019.pdf,2019,Yes,Yes,No,MSR,defect prediction,Convolutional,cross validation,,,language model,Feedforward,
6,CCLearner: A Deep Learning-Based Clone Detection Approach,https://people.cs.vt.edu/nm8247/publications/icsme-research-118-camera-ready.pdf,2017,No,Yes,Yes,ICSME,code similarity,Feedforward,none,,,code similarity,Embedding,
7,Towards Accurate Duplicate Bug Retrieval Using Deep Learning Techniques,http://ieeexplore.ieee.org/document/8094414/,2017,Yes,Yes,Yes,ICSME,duplicate bug detection,,none,,,duplicate bug detection,Graph,
8,Lessons Learned from Using a Deep Tree-Based Model for Software Defect Prediction in Practice,https://dl.acm.org/doi/10.1109/MSR.2019.00017,2019,No,Yes,Yes,MSR,defect prediction,Sequence,none,,,Vulnerability Detection,word2vec,
9,Deep Learning Code Fragments for Code Clone Detection,http://www.cs.wm.edu/~denys/pubs/ASE'16-DeepLearningClones.pdf,2016,No,No,Yes,ASE,code similarity,Sequence,none,,,code comprehension,Attention,
10,Deep Learning Similarities from Different Representations of Source Code,http://www.cs.wm.edu/~mtufano/publications/C9.pdf,2018,Yes,Yes,No,MSR,code similarity,Sequence,none,,,Code Synthesis,DNN,
11,code2vec: Learning Distributed Representations of Code,https://arxiv.org/pdf/1803.09473.pdf,2018,Yes,Yes,No,POPL,language model,Sequence,dev set,,,code smell,Other,
12,SySeVR: A Framework for Using Deep Learning to Detect Software Vulnerabilities,https://arxiv.org/pdf/1807.06756.pdf,2018,Yes,Yes,Yes,TDSC,Vulnerability Detection,Sequence,none,,,language processing,Deep Belief Network,
13,Are deep neural networks the best choice for modeling source code?,https://dl.acm.org/doi/pdf/10.1145/3106237.3106290,2017,Yes,Yes,Yes,FSE,language model,,none,,,image processing,Transformer,
14,Maybe Deep Neural Networks are the Best Choice for Modeling Source Code,https://arxiv.org/pdf/1903.05734.pdf,2019,Yes,Yes,Yes,arXiv,language model,Sequence,none,,,Software Categorization,,
15,alpha-Diff: Cross-Version Binary Code Similarity Detection with DNN,https://dl-acm-org.prox.lib.ncsu.edu/doi/pdf/10.1145/3238147.3238199,2018,Yes,Yes,No,ASE,code similarity,Convolutional,dev set,,,Program Repair/Bug Fix,,
16,Exploring the Use of Deep Learningfor Feature Location,https://damevski.github.io/files/Corley-etal_2015a.pdf,2015,No,No,Yes,ICSME,code comprehension,Embedding,none,,,Feature Envy Detection,,
17,Deep representations for software engineering,https://dl.acm.org/doi/10.5555/2819009.2819166,2015,No,No,Yes,ICSE,language model,Sequence,none,,,Software Energy Metrics,,
18,Neural code comprehension: A learnable representation of code semantics,https://papers.nips.cc/paper/7617-neural-code-comprehension-a-learnable-representation-of-code-semantics.pdf,2018,Yes,Yes,Yes,NeurIPS,language model,Sequence,none,,,issue close time,,
19,Learning Program Embeddings to Propagate Feedback on Student Code,https://stanford.edu/~cpiech/bio/papers/programEncoding.pdf,2015,No,Yes,No,ICML,language model,Sequence,random search,,,Testing,,
20,Deep learning type inference,https://vhellendoorn.github.io/PDF/fse2018-j2t.pdf,2018,Yes,Yes,Yes,FSE,code comprehension,Sequence,dev set,,,vulnerability detection,,
21,Suggesting Accurate Method and Class Names,https://homepages.inf.ed.ac.uk/csutton/publications/accurate-method-and-class.pdf,2015,No,No,Yes,FSE,code comprehension,Sequence,Bayesian Optimization,,,other,,
22,Learning to Represent Programs with Graphs,https://www.microsoft.com/en-us/research/wp-content/uploads/2017/11/programGraphs.pdf,2017,No,Yes,No,ICLR,code comprehension,Graph,none,,,,,
23,From UI Design Image to GUI Skeleton: A Neural Machine Translator to Bootstrap Mobile GUI Implementation,https://ccywch.github.io/chenchunyang.github.io/publication/ui2code.pdf,2018,Yes,Yes,No,ICSE,Code Synthesis,Convolutional,dev set,,,,,
24,A neural framework for retrieval and summarization of source code,https://dl.acm.org/doi/10.1145/3238147.3240471,2018,No,Yes,Yes,ASE,code comprehension,,none,,,,,
25,Semantically enhanced software traceability using deep learning techniques,https://arxiv.org/pdf/1804.02438.pdf,2018,No,No,No,ICSE,code comprehension,Sequence,grid search,,,,,
26,Deep code search,https://guxd.github.io/papers/deepcs.pdf,2018,Yes,No,Yes,ICSE,code comprehension,Sequence,none,,,,,
27,Automated Vulnerability Detection in Source Code Using Deep Representation Learning,https://arxiv.org/pdf/1807.04320.pdf,2018,No,Yes,Yes,ICMLA,Vulnerability Detection,Convolutional,unspecified,,,,,
,,,,,,,,,Sequence,,,,,,
28,Devign: Effective Vulnerability Identification by Learning Comprehensive Program Semantics via Graph Neural Networks,https://arxiv.org/pdf/1909.03496.pdf,2019,Yes,Yes,No,NeurIPS,Vulnerability Detection,Graph,none,,,,,
29,VulDeePecker: A Deep Learning-Based System for Vulnerability Detection,https://arxiv.org/pdf/1801.01681.pdf,2018,Yes,Yes,Yes,NDSS,Vulnerability Detection,Sequence,none,,,,,
30,Assessing the Generalizability of code2vec Token Embeddings,https://ink.library.smu.edu.sg/cgi/viewcontent.cgi?article=5496&context=sis_research,2019,Yes,Yes,Yes,ASE,language model,Embedding,none,,,,,
31,Checking Smart Contracts with Structural Code Embedding,https://arxiv.org/pdf/2001.07125.pdf,2020,Yes,Yes,Yes,TSE,language model,Embedding,none,,,,,
32,Deep Learning Based Code Smell Detection,https://ieeexplore-ieee-org.prox.lib.ncsu.edu/stamp/stamp.jsp?tp=&arnumber=8807230,2021,Yes,Yes,Yes,TSE,code smell,Embedding,none,,,,,
33,CC2Vec: Distributed Representations of Code Changes,https://arxiv.org/pdf/2003.05620.pdf,2020,No,No,No,ICSE,defect prediction,Embedding,none,,,,,
34,Deep Code Comment Generation,https://dl-acm-org.prox.lib.ncsu.edu/doi/pdf/10.1145/3196321.3196334,2018,Yes,Yes,No,ICPC,code comprehension,Sequence,none,,,,,
35,Exploring API Embedding for API Usages and Applications,https://ieeexplore-ieee-org.prox.lib.ncsu.edu/stamp/stamp.jsp?tp=&arnumber=7985683,2017,Yes,No,Yes,ICSE,code comprehension,word2vec,none,,,,,
36,Mining Likely Analogical APIs across Third-Party Libraries via Large-Scale Unsupervised API Semantics Embedding,https://ieeexplore-ieee-org.prox.lib.ncsu.edu/stamp/stamp.jsp?tp=&arnumber=8630054,2021,No,No,Yes,TSE,code comprehension,Sequence,cross validation,,,,,
37,A neural framework for retrieval and sum- marization of source code,https://dl.acm.org/doi/10.1145/3238147.3240471,2018,No,Yes,Yes,ASE,code comprehension,Sequence,dev set,,,,,
38,Improving automatic source code summarization via deep reinforcement learning,https://arxiv.org/pdf/1811.07234.pdf,2018,No,No,No,ASE,code comprehension,Sequence,cross validation,,,,,
39,A convolutional attention network for extreme summarization of source code,https://arxiv.org/pdf/1602.03001.pdf,2016,Yes,Yes,Yes,ICML,code comprehension,Convolutional,Bayesian Optimization,,,,,
40,Differentiable programs with neural libraries,https://www.microsoft.com/en-us/research/wp-content/uploads/2017/03/main2.pdf,2017,No,No,No,ICML,code comprehension,,,,,,,
41,Making neural programming architectures generalize via recursion,https://arxiv.org/abs/1704.06611,2017,No,No,No,ICLR,,,,,,,,
42,Neural guided constraint logic programming for program synthesis,https://proceedings.neurips.cc/paper_files/paper/2018/file/67d16d00201083a2b118dd5128dd6f59-Paper.pdf,2018,Yes,Yes,No,NeurIPS,Code Synthesis,Sequence,none,,,,,
,,,,,,,,,Graph,,,,,,
43,Neural program meta-induction,https://papers.nips.cc/paper/6803-neural-program-meta-induction.pdf,2017,No,No,No,NeurIPS,Code Synthesis,Convolutional,none,,,,,
,,,,,,,,,Sequence,,,,,,
44,Neural program synthesis from diverse demonstration videos.,http://proceedings.mlr.press/v80/sun18a.html,2018,Yes,Yes,No,ICML,Code Synthesis,Sequence,,,,,,
45,Automating intention mining,https://ieeexplore.ieee.org.prox.lib.ncsu.edu/stamp/stamp.jsp?tp=&arnumber=8493285,2018,Yes,Yes,Yes,TSE,language processing,Convolutional,DE,,,,,
46,Neural sketch learning for conditional program generation,https://arxiv.org/abs/1703.05698,2018,Yes,No,No,ICLR,Code Synthesis,Sequence,grid search,,,,,
47,Neural programmer-interpreters,https://arxiv.org/abs/1511.06279,2016,No,No,No,ICLR,language processing,Sequence,none,,,,,
48,Latent attention for if-then program synthesis.,https://papers.nips.cc/paper/6284-latent-attention-for-if-then-program-synthesis.pdf,2016,No,No,No,NeurIPS,Code Synthesis,Attention,none,,,,,
49,A deep learning approach to identifying source code in images and video,https://ieeexplore.ieee.org.prox.lib.ncsu.edu/stamp/stamp.jsp?tp=&arnumber=8595221,2018,No,No,Yes,MSR,image processing,Convolutional,cross validation,,,,,
50,Deepcoder: Learning to write programs.,https://arxiv.org/abs/1611.01989,2017,No,No,No,ICLR,Code Synthesis,Sequence,none,,,,,
51,Robustfill: Neural program learning under noisy I/O,https://arxiv.org/pdf/1703.07469.pdf,2017,No,No,No,ICML,Code Synthesis,Sequence,dev set,,,,,
,,,,,,,,,Attention,,,,,,
52,Leveraging grammar and reinforcement learning for neural program synthesis,https://arxiv.org/abs/1805.04276,2018,No,No,Yes,ICLR,Code Synthesis,Sequence,none,,,,,
,,,,,,,,,Convolutional,,,,,,
53,Neural-guided deductive search for real-time program synthesis from examples.,https://arxiv.org/pdf/1804.01186.pdf,2018,No,No,No,ICLR,Code Synthesis,Sequence,dev set,,,,,
